Best Score,Average Score
0.9,0.867
2.4,0.933
3.2,0.967
2.4,0.867
3.2,0.967
3.2,0.967
2.4,0.9
2.5,0.933
4,1.0
2.4,0.867
4,1.0
2.5,0.933
3.2,0.933
2.4,0.933
2.4,0.9
2.4,0.933
2.4,0.9
4,0.933
2.4,0.867
2.5,1.0
2.4,0.933
4,0.967
1.7,0.967
4,1.0
0.8,0.8
4,0.967
2.4,0.933
2.5,1.0
2.4,0.9
1.6,0.833
2.4,0.867
1.7,0.9
3.2,0.967
1.6,0.833
4,1.0
2.5,1.0
2.5,1.0
4,0.933
2.4,0.933
3.2,0.967
2.4,0.933
2.4,0.933
3.2,0.933
4,1.0
1.7,0.9
4,0.967
4,1.0
2.4,0.867
1.0,1.0
2.5,0.933
2.4,0.933
2.5,1.0
2.5,1.0
2.5,1.0
2.5,0.933
2.5,0.933
2.4,0.933
4,1.0
4,1.0
4,1.0
2.4,0.933
2.4,0.933
1.7,0.933
1.6,0.833
2.4,0.933
2.4,0.9
0.8,0.8
4,0.933
2.4,0.867
4,0.933
2.4,0.9
4,1.0
2.5,0.967
2.5,1.0
4,1.0
3.2,0.967
4,1.0
2.4,0.867
4,1.0
2.4,0.933
1.7,0.967
4,0.933
3.2,0.933
2.5,1.0
2.4,0.933
4,1.0
3.2,0.933
2.4,0.933
2.4,0.933
4,1.0
3.2,0.967
1.6,0.833
2.4,0.9
2.4,0.933
2.4,0.933
2.4,0.867
1.6,0.833
0.8,0.8
2.4,0.9
2.4,0.933
2.5,0.967
3.2,0.967
3.2,0.9
0.9,0.867
0.8,0.8
2.4,0.867
0.8,0.8
4,1.0
4,0.967
2.5,1.0
4,1.0
2.4,0.867
1.7,0.967
2.5,1.0
2.5,1.0
4,0.967
2.4,0.933
4,1.0
4,0.933
1.0,1.0
1.6,0.867
2.4,0.867
1.0,1.0
3.2,0.967
2.5,0.933
2.4,0.9
1.6,0.833
2.4,0.9
1.6,0.833
0.8,0.8
2.4,0.933
2.4,0.9
2.4,0.933
1.7,0.967
3.2,0.967
3.2,0.967
4,1.0
3.2,0.967
1.6,0.833
4,1.0
2.4,0.933
4,1.0
2.5,1.0
4,1.0
4,0.933
2.5,1.0
0.8,0.8
2.4,0.9
2.4,0.933
2.4,0.933
2.4,0.867
4,0.933
2.5,1.0
4,0.967
0.9,0.867
2.5,1.0
2.5,1.0
2.4,0.9
4,1.0
4,0.967
1.7,0.933
1.7,0.9
4,1.0
3.2,0.9
3.2,0.9
0.9,0.867
0.8,0.8
2.4,0.933
1.0,1.0
2.4,0.867
4,1.0
2.5,1.0
3.2,0.9
4,1.0
2.4,0.9
2.5,1.0
2.5,0.967
2.5,1.0
4,1.0
2.4,0.933
0.8,0.8
2.4,0.933
3.2,0.933
2.4,0.867
4,0.933
4,0.933
0.8,0.8
